"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
21940,391562,"FL","H",318,"MD","Maryland","06","","",7,49.700000000000003,"2012","2016","G","H2MD06195",0,0,0,0,0,86,0,62,"AOK","Normal",2686,3220,"D","John","Delaney","K.","John","Rep.","","US Representative","","M","John K. Delaney","deh-LAY-nee","Wood Ridge, NJ","1963","04","16","Married","April McClain","Potomac, MD","4 children ","ROC","Roman Catholic",5,"White/Caucasian","","","","","BUS","Founder","BUS","Founder","Georgetown University School of Law (DC)","J.D.","1988","Columbia University (NY)","B.S.","1985","","","","","","","","","","Rep. John Delaney","US Representative","Room 1632","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-2006","","https://delaney.house.gov/contact/email-me","http://delaney.house.gov/","","http://www.facebook.com/congressmanjohndelaney","http://twitter.com/RepJohnDelaney","http://www.youtube.com/user/repjohndelaney","Images\Photos\FL\H","Delaney_John_391562.jpg"
21959,158908,"FL","H",1,"MI","Michigan","13","","",1,79.5,"1964","2016","G","H6MI01028",0,0,100,95,95,95,25,20,"AOK","Normal",3023,3637,"D","John","Conyers","","John","Rep.","Jr.","US Representative","","M","John Conyers Jr.","KAHN-yurz","Detroit, MI","1929","05","16","Married","Monica Ann Esters","Detroit, MI","2 children","BAP","Baptist",1,"Black/African American","Ranking Minority Member, U.S. House Committee on the Judiciary","2014","Ranking Minority Member, U.S. House Committee on the Judiciary","2011-2013","LAW","Senior Partner","PUB","Legislative Assistant","Wayne State University Law School (MI)","LL.B.","1958","Wayne State University (MI)","B.A.","1957","","","","National Guard","","1957","U.S. Army Corps of Engineers","","1950-1954","Rep. John Conyers Jr.","US Representative","Room 2426","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-2213","John.Conyers@mail.house.gov","http://conyers.house.gov/contact/email","http://conyers.house.gov/","","http://www.facebook.com/CongressmanConyers","http://twitter.com/repjohnconyers","http://www.youtube.com/user/JCMI14","Images\Photos\FL\H","Conyers_John_158908.jpg"
21980,266921,"FL","H",200,"MS","Mississippi","03","","",1,68.900000000000006,"2008","2016","G","H8MS03067",0,0,5,0,6,11,100,90,"AOK","Normal",3389,4003,"R","Gregg","Harper","","Gregg","Rep.","","US Representative","","M","Gregg Harper","HAR-pur","Jackson, MS","1956","06","01","Married","Sidney","Pearl, MS","2 children","BAP","Baptist",5,"White/Caucasian","Vice Chair, U.S. Joint Committee on Printing","2014","Chairman, U.S. Joint Committee on the Library","2014","LAW","Legal Volunteer","LAW","Associate","University of Mississippi Law School","J.D.","1981","Mississippi College","B.S.","1978","Pearl High School (MS)","","1974","","","","","","","Rep. Gregg Harper","US Representative","Room 307","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-2403","","http://harper.house.gov/contact-gregg/email-gregg","http://harper.house.gov","","http://www.facebook.com/GreggHarper","http://twitter.com/greggharper","http://www.youtube.com/user/CongressmanHarper","Images\Photos\FL\H","Harper_Gregg_266921.jpg"
21996,240471,"FL","H",316,"ND","North Dakota","01","","",1,55.5,"2012","2016","G","H0ND01026",0,0,0,0,0,29,0,77,"AOK","Normal",4829,5656,"R","Kevin","Cramer","J.","Kevin","Rep.","","US Representative","","M","Kevin J. Cramer","KRAY-mur","Rolette, ND","1961","01","21","Married","Kris Neumann","Bismarck, ND","5 children ;  1 grandchild ","EVA","Evangelical",5,"White/Caucasian","Vice Chair, U.S. House Subcommittee on Oversight","2014","Candidate, U.S. House of Representatives","2010-2010","EDU","Adjunct Instructor of Business Management","OTH","Executive Director","University of Mary (ND)","Mast. Deg.","2003","Concordia College (MN)","B.A.","1983","Kindred High School (ND)","","1983","","","","","","","Rep. Kevin Cramer","US Representative","Room 1032","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-3401","","https://cramer.house.gov/contact/email-me","http://cramer.house.gov/","","http://www.facebook.com/CongressmanKevinCramer","http://twitter.com/RepKevinCramer","http://www.youtube.com/user/kevincramer","Images\Photos\FL\H","Cramer_Kevin_240471.jpg"
22015,378591,"FL","H",336,"NM","New Mexico","01","","",2,58.600000000000001,"2012","2016","G","H8NM01257",0,0,0,0,0,95,0,38,"AOK","Normal",4290,5111,"D","Michelle","Lujan Grisham","","Michelle","Rep.","","US Representative","","F","Michelle Lujan Grisham","LOO-hahn GRIH-shuhm","Los Alamos (NM)","1959","10","24","Widow","","Albuquerque, NM","2 children ","ROC","Roman Catholic",2,"Hispanic/Latino","Member of the Children's Cabinet, Office of the NM Lieutenant Governor","2014","Member, Bernalillo County Board","2011-2012","BUS","President and Co-founder","LAW","Attorney","University of New Mexico","J.D.","1987","University of New Mexico","B.E.","1981","Saint Michael’s High School (NM)","","1981","","","","","","","Rep. Michelle Lujan Grisham","US Representative","Room 214","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-3101","","http://lujangrisham.house.gov/contact","http://lujangrisham.house.gov/","","http://www.facebook.com/RepLujanGrisham","http://twitter.com/replujangrisham","http://www.youtube.com/user/RepLujanGrisham","Images\Photos\FL\H","LujanGrisham_Michelle_378591.jpg"
22031,158983,"FL","H",46,"NY","New York","12","","",7,79.900000000000006,"1992","2016","G","H2NY14037",0,0,85,85,94,94,20,38,"AOK","Normal",4416,5239,"D","Carolyn","Maloney","B.","Carolyn","Rep.","","US Representative","","F","Carolyn Bosher Maloney","muh-LOAN-ee","Greensboro, NC","1946","02","19","Widow","","Manhattan, NY","2 children","PRE","Presbyterian",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on Capital Markets and Government Sponsored Enterprises","2014","Ranking Minority Member, U.S. House Subcommittee on Financial Institutions and Consumer Credit","2013","PUB","Director of Special Projects","PUB","Senior Progressive Analyst","Greensboro College (NC)","Bach. Deg.","1968","University Dijon, Paris (France)","","1968","New School for Social Research (NY)","","1968","","","","","","","Rep. Carolyn Maloney","US Representative","Room 2308","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-3212","","http://maloney.house.gov/services/email-me","http://maloney.house.gov","","http://www.facebook.com/CarolynMaloney","http://twitter.com/RepMaloney","http://www.youtube.com/user/carolynbmaloney","Images\Photos\FL\H","Maloney_Carolyn_158983.jpg"
22045,266914,"FL","H",253,"NY","New York","22","","",4,98.400000000000006,"2010","2016","G","H8NY24066",0,0,25,5,26,30,92,95,"AOK","Retiring at end of term",4426,5249,"R","Richard","Hanna","L.","Richard","Rep.","","US Representative","","M","Richard L. Hanna","HAN-uh","Utica, NY","1951","01","25","Married","Kim","Barneveld, NY","2 children","ROC","Roman Catholic",5,"White/Caucasian","Vice Chair, U.S. House Subcommittee on Railroads, Pipelines, and Hazardous Materials","2014","Chairman, U.S. House Subcommittee on Contracting and Workforce","2014","BUS","Partner","BUS","Founder and Owner","Reed College (OR)","B.A.","1976","Whitesboro High School (NY)","","1976","","","","","","","","","","Rep. Richard Hanna","US Representative","Room 319","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-3222","","http://hannaforms.house.gov/contact/","http://hanna.house.gov/","","http://www.facebook.com/reprichardhanna","http://twitter.com/reprichardhanna","http://www.youtube.com/user/reprichardhanna","Images\Photos\FL\H","Hanna_Richard_266914.jpg"
22066,284934,"FL","H",276,"OH","Ohio","16","","",8,63.700000000000003,"2010","2016","G","H0OH16097",0,0,0,0,12,13,100,95,"AOK","Normal",4939,5768,"R","Jim","Renacci","B.","Jim","Rep.","","US Representative","","M","James B. Renacci","reh-NAY-see","Monongahela, PA","1958","12","03","Married","Tina","Wadsworth, OH","3 children","ROC","Roman Catholic",5,"White/Caucasian","Vice Chair, U.S. House Subcommittee on Financial Institutions and Consumer Credit","2013","Mayor, Wadsworth, OH","2004-2008","BUS","Part Owner","BUS","President and General Manager","Indiana University of Pennsylvania","B.A.","1980","","","","","","","","","","","","","Rep. Jim Renacci","US Representative","Room 328","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-3516","","http://renacci.house.gov/index.cfm/contact-form","http://renacci.house.gov/","","http://www.facebook.com/repjimrenacci","http://twitter.com/repjimrenacci","http://www.youtube.com/user/repjimrenacci","Images\Photos\FL\H","Renacci_Jim_284934.jpg"
22087,284999,"FL","H",270,"PA","Pennsylvania","07","","",10,62,"2010","2016","G","H0PA07082",0,0,15,5,35,39,100,97,"AOK","Normal",5329,6164,"R","Patrick","Meehan","L.","Pat","Rep.","Jr.","US Representative","","M","Patrick L. Meehan Jr.","MEE-uhn","Cheltenham Township, PA","1955","10","20","Married","Carolyn","Drexel Hill, PA","3 children","ROC","Roman Catholic",5,"White/Caucasian","Chairman, U.S. House Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies","2014","Chairman, U.S. House Subcommittee on Counterterrorism and Intelligence","2013","LAW","Partner","PUB","U.S. Attorney for the Eastern District of Pennsylvania","Temple University (PA)","J.D.","1986","Bowdoin College (ME)","B.A.","1978","","","","","","","","","","Rep. Patrick Meehan Jr.","US Representative","Room 434","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-3807","","http://meehan.house.gov/contact/email-me","http://meehan.house.gov/","","http://www.facebook.com/CongressmanPatrickMeehan","http://twitter.com/repmeehan","http://www.youtube.com/user/RepMeehan","Images\Photos\FL\H","Meehan_Patrick_284999.jpg"
22110,159060,"FL","H",38,"SC","South Carolina","06","","",1,72.5,"1992","2016","G","H2SC02042",0,0,90,70,96,96,27,39,"AOK","Normal",5715,6554,"D","James","Clyburn","E.","Jim","Rep.","","US Representative","","M","James Enos Clyburn","KLY-burn","Sumter, SC","1940","07","21","Married","Emily England","Columbia, SC","3 children","AME","African Methodist Episcopal",1,"Black/African American","House Assistant Democratic Leader, U.S. House of Representatives","2011-Current","House Majority Whip, U.S. House of Representatives","2007-2011","PUB","Staff Member","BUS","Executive Director","South Carolina Executive Institute","","1957","South Carolina University Law School","","1974","South Carolina State University","B.S.","1962","","","","","","","Rep. James Clyburn","US Representative","Room 242","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-4006","jclyburn@mail.house.gov","https://clyburn.house.gov/contact-me/email-me","http://clyburn.house.gov","","http://www.facebook.com/jameseclyburn","http://twitter.com/Clyburn","http://www.youtube.com/user/RepJamesClyburn","Images\Photos\FL\H","Clyburn_James_159060.jpg"
22128,159078,"FL","H",69,"TX","Texas","08","","",5,89.299999999999997,"1996","2016","G","H6TX08100",0,0,0,0,6,6,100,92,"AOK","Normal",6105,6985,"R","Kevin","Brady","P.","Kevin","Rep.","","US Representative","","M","Kevin Patrick Brady","BRAY-dee","Vermillion, SD","1955","04","11","Married","Cathy Patronella","The Woodlands, TX","2 children","ROC","Roman Catholic",5,"White/Caucasian","Chairman, U.S. Joint Economic Committee","2014","Chairman, U.S. House Subcommittee on Health","2014","BUS","President","","","University of South Dakota","B.S.","1990","","","","","","","","","","","","","Rep. Kevin Brady","US Representative","Room 301","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-4308","","http://kevinbrady.house.gov/contact/","http://kevinbrady.house.gov/","http://www.house.gov/apps/blog/tx08_brady/index.shtml","http://www.facebook.com/kevinbrady","http://twitter.com/RepKevinBrady","http://www.youtube.com/user/KBrady8","Images\Photos\FL\H","Brady_Kevin_159078.jpg"
22142,164975,"FL","H",209,"TX","Texas","22","","",18,66.5,"2008","2016","G","H8TX22107",0,0,0,0,4,5,92,89,"AOK","Normal",6118,6999,"R","Pete","Olson","G.","Pete","Rep.","","US Representative","","M","Peter Graham Olson","OLL-suhn","Fort Lewis, WA","1962","12","09","Married","Nancy","Sugar Land, TX","2 children","MET","Methodist",5,"White/Caucasian","","","","","PUB","Chief of Staff","PUB","Naval Liaison Officer","University of Texas Law School","J.D.","1988","Rice University (TX)","B.A.","1985","Clear Lake High School (TX)","","1981","U.S. Naval Reserve","","1981","U.S. Navy","","1988-1995","Rep. Pete Olson","US Representative","Room 2133","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-4322","","http://olson.house.gov/contact-us","http://olson.house.gov/","","http://www.facebook.com/Rep.PeteOlson","http://twitter.com/olsonpressshop","http://www.youtube.com/user/PeteOlsonTX22","Images\Photos\FL\H","Olson_Pete_164975.jpg"
22163,282950,"FL","H",388,"VA","Virginia","10","","",8,56.5,"2014","2016","G","H4VA10089",0,0,0,0,0,0,0,0,"AOK","Normal",6549,7494,"R","Barbara","Comstock","J.","Barbara","Rep.","","US Representative","","F","Barbara J. Comstock","KAWM-stahk","Springfield, MA","1959","06","30","Married","Elwyn (Chip) Charles Comstock","McLean, VA","3 children ;  2 grandchildren ","ROC","Roman Catholic",5,"White/Caucasian","Chairman, VA State House Committee on Science and Technology","2014","Member (VA034 R), VA State House","2009-2014","BUS","Founding Partner","BUS","Founding Partner","Georgetown University Law Center (DC)","J.D.","1986","Middlebury College (VT )","B.A.","1981","","","","","","","","","","Rep. Barbara Comstock","US Representative","Room 226","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-4610","","https://comstock.house.gov/contact/email","https://comstock.house.gov/","","http://www.facebook.com/RepBarbaraComstock","http://twitter.com/RepComstock","http://www.youtube.com/channel/UC2IBUvBd51zgaE56fPcZeVA","Images\Photos\FL\H","Comstock_Barbara_282950.jpg"
22177,199986,"FL","H",347,"WI","Wisconsin","02","","",3,68.400000000000006,"2012","2016","G","H2WI02124",0,0,0,0,0,100,0,23,"AOK","Normal",6876,605,"D","Mark","Pocan","","Mark","Rep.","","US Representative","","M","Mark Pocan","poe-CAN","Kenosha, WI","1964","08","14","Married","Philip Frank","Madison, WI","","","",5,"White/Caucasian","Member (WI078 D), WI State Assembly","1999-2013","Supervisor, Dane County Board of Supervisors","1991-1996","VOL","Realtor Association Public Relations Director","BUS","Owner","University of Wisconsin, Madison","B.A.","1986","Mary D. Bradford High School (WI)","","1986","","","","","","","","","","Rep. Mark Pocan","US Representative","Room 313","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-4902","","http://pocan.house.gov/contact/email-me","http://pocan.house.gov/","","http://www.facebook.com/repmarkpocan","http://twitter.com/RepMarkPocan","http://www.youtube.com/user/markpocan","Images\Photos\FL\H","Pocan_Mark_199986.jpg"
