"UID","PID","LEGTYPE","CHAMBER","CHAMBERRANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","STATUSID","STATUS","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","INCUMBENT","CUROFC","CUROFCUID","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
7668,194314,"FLE","H",,"IL","Illinois","14","","",,58.799999999999997,"11/6/2012","","G","H0IL14080",,,,,,,,,1,"Unofficial Results",1532,2052,"R","Randy","Hultgren","M.","Randy","Rep.","","US Representative","","M","Randall M. Hultgren","HULT-gren","Park Ridge, IL","1966","03","01","Married","Christy","Winfield, IL","4 children","USP","Protestant - Unspecified Christian",5,"White/Caucasian","Y","US Representative for Illinois District 14",21891,"Member, IL State Senate","2007-2010","Member, IL State House","1999-2007","BUS","Vice President","BUS","Vice President and Partner","Illinois Institute of Technology Kent College of Law (IL)","J.D.","1993","Bethel College (IN)","B.A.","1988","Wheaton Academy (IL)","","1984","","","","","","","Rep. Randy Hultgren","US Representative","Room 427","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-1314","","http://hultgren.house.gov/index.cfm?sectionid=89&sectiontree=3,89","http://hultgren.house.gov/","","","http://twitter.com/RandyHultgren","","Images\Photos\FLE\H","Hultgren_Randy_194314.jpg"
7681,248295,"FLE","H",,"IA","Iowa","01","","",,56.899999999999999,"11/6/2012","","G","H6IA01098",,,,,,,,,1,"Unofficial Results",1874,2398,"D","Bruce","Braley","L.","Bruce","Rep.","","US Representative","","M","Bruce L. Braley","BRAY-lee","Grinnell, IA","1957","10","30","Married","Carolyn Kalb","Waterloo, IA","3 children","PRE","Presbyterian",5,"White/Caucasian","Y","US Representative for Iowa District 1",21872,"Vice Chairman Candidate Services, Democratic Congressional Campaign Committee","2009-2010","Precinct Coordinator, John Edwards for President Campaign","2004","LAW","Associate","","","University of Iowa","J.D.","1983","Iowa State University","B.A.","1980","BGM High School (IA)","","1980","","","","","","","Rep. Bruce Braley","US Representative","Room 2263","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-1501","","http://braley.house.gov/contact","http://braley.house.gov","","http://www.facebook.com/brucebraley","http://twitter.com/BruceBraley","http://www.youtube.com/RepBruceBraley","Images\Photos\FLE\H","Braley_Bruce_248295.jpg"
7694,284674,"FLE","H",,"KY","Kentucky","06","","",,50.600000000000001,"11/6/2012","","G","H0KY06104",,,,,,,,,1,"Unofficial Results",2203,2731,"R","Andy","Barr","","Andy","Mr.","","US Representative Elect","","M","Garland Barr IV","","Lexington, KY","1973","07","24","Married","Eleanor Carol Leavell","Lexington, KY","1 child ","EPI","Episcopalian",5,"White/Caucasian","","",,"Candidate (KY06 R), U.S. House of Representatives","2010","","","EDU","Part-time Instructor","LAW","Associate","University of Kentucky College of Law","J.D.","2001","University of Virginia","B.A.","1996","Henry Clay High School (KY)","","1992","","","","","","","Mr. Andy Barr","US Representative Elect","","","PO Box 2059","","Lexington, KY 40588-2059","info@andybarrforcongress.com","http://www.andybarrforcongress.com/contact_us.php","http://www.andybarrforcongress.com/","","http://www.facebook.com/BarrForCongress","http://twitter.com/barrforcongress","http://www.youtube.com/user/AndyBarrForCongress","Images\Photos\FLE\H","Barr_Andy_284674.jpg"
7706,265644,"FLE","H",,"MD","Maryland","04","","",,77.200000000000003,"11/6/2012","","G","H6MD04183",,,,,,,,,1,"Unofficial Results",2684,3218,"D","Donna","Edwards","F.","Donna","Rep.","","US Representative","","F","Donna F. Edwards","EHD-wurds","Yanceyville, NC","1958","06","28","Separated","Derek Coleman","Fort Washington, MD","1 child","BAP","Baptist",1,"Black/African American","Y","US Representative for Maryland District 4",21938,"Candidate, Nomination to U.S. House of Representatives","2006","","","BUS","Executive Director","VOL","Executive Director","Franklin Pierce College Law Center (NH)","J.D.","1989","Wake Forest University (NC)","B.A.","1980","","","","","","","","","","Rep. Donna Edwards","US Representative","Room 318","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-2004","4mddistrict@mail.house.gov","http://www.donnaedwards.house.gov/contact-rep-edwards1/","http://www.donnaedwards.house.gov","","http://www.facebook.com/pages/Congresswoman-Donna-F-Edwards/107297211756","http://twitter.com/repdonnaedwards","http://www.youtube.com/user/RepDonnaFEdwards","Images\Photos\FLE\H","Edwards_Donna_265644.jpg"
7718,286684,"FLE","H",,"MA","Massachusetts","09","","",,58.700000000000003,"11/6/2012","","G","H0MA10082",,,,,,,,,1,"Unofficial Results",2809,3421,"D","William","Keating","R.","Bill","Rep.","","US Representative Elect","","M","William Richard Keating","KEE-ting","Norwood, MA","1952","09","06","Married","Tevis","Quincy, MA","2 children","ROC","Roman Catholic",5,"White/Caucasian","","US Representative for Massachusetts District 10",21934,"District Attorney, Norfolk County (MA)","1999-2010","Member, MA State Senate","1985-1998","LAW","Partner","","","Suffolk University  School of Law (MA)","J.D.","1985","Boston College (MA)","M.B.A.","1982","Boston College (MA)","B.A.","1974","","","","","","","Rep. William Keating","US Representative Elect","Room 315","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-2110","","http://forms.house.gov/keating/webforms/contact.shtml","http://keating.house.gov/","","","","","Images\Photos\FLE\H","Keating_William_286684.jpg"
7730,158908,"FLE","H",,"MI","Michigan","13","","",,82.799999999999997,"11/6/2012","","G","H6MI01028",,,,,,,,,1,"Unofficial Results",3023,3637,"D","John","Conyers","","John","Rep.","Jr.","US Representative Elect","","M","John Conyers, Jr.","KAHN-yurz","Detroit, MI","1929","05","16","Married","Monica Ann Esters","Detroit, MI","2 children","BAP","Baptist",1,"Black/African American","","US Representative for Michigan District 14",21958,"Candidate, Nomination for Detroit, MI Mayor","1993","Candidate, Nomination for Detroit, MI Mayor","1989","LAW","Senior Partner","PUB","Legislative Assistant","Wayne State University Law School (MI)","LL.B.","1958","Wayne State University (MI)","B.A.","1957","","","","National Guard","","1957","U.S. Army Corps of Engineers","","1950-1954","Rep. John Conyers Jr.","US Representative Elect","Room 2426","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-2214","John.Conyers@mail.house.gov","http://conyers.house.gov/index.cfm?FuseAction=Contact.OnlineContactForm","http://www.house.gov/conyers","","http://www.facebook.com/CongressmanConyers","http://twitter.com/repjohnconyers","http://www.youtube.com/user/JCMI14","Images\Photos\FLE\H","Conyers_John_158908.jpg"
7743,205779,"FLE","H",,"MO","Missouri","01","","",,78.700000000000003,"11/6/2012","","G","H0MO01066",,,,,,,,,1,"Unofficial Results",3561,4181,"D","William","Clay","L.","Lacy","Rep.","","US Representative","","M","William Lacy Clay Jr.","klay","St. Louis, MO","1956","07","27","Divorced","Ivie Lewellen (div.)","St. Louis, MO","2 children","ROC","Roman Catholic",1,"Black/African American","Y","US Representative for Missouri District 1",30201,"Member, MO State Senate","1991-2000","Member, MO State House of Representatives","1983-1990","PUB","Congressional Aide","","","Harvard University (MA)","","1983-1990","John F. Kennedy School of Government","","1983-1990","University of Maryland - College Park (MD)","B.S.","1983","","","","","","","Rep. William Clay","US Representative","Room 2418","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-2501","","http://lacyclay.house.gov/index.cfm?sectionid=90&sectiontree=3,90","http://lacyclay.house.gov","","http://www.facebook.com/pages/Congressman-Wm-Lacy-Clay/109135405838588","","http://www.youtube.com/user/WilliamLacyClay","Images\Photos\FLE\H","Clay_William_205779.jpg"
7756,197540,"FLE","H",,"NV","Nevada","02","","",,57.600000000000001,"11/6/2012","","G","H2NV02395",,,,,,,,,1,"Unofficial Results",4020,4646,"R","Mark","Amodei","E.","Mark","Rep.","","US Representative","","M","Mark E. Amodei","AM-uh-day","Carson City, NV","1958","06","12","Divorced","","Carson City, NV","2 children","PRE","Presbyterian",5,"White/Caucasian","Y","US Representative for Nevada District 2",22019,"Chairman, NV Republican Party","2010-2011","Candidate, U.S. Senate","2010","LAW","Attorney, sole practitioner","VOL","President","University of the Pacific McGeorge School of Law (CA)","J.D.","1983","University of Nevada, Reno","B.A.","1980","Carson High School (NV)","","1976","U.S. Army, Judge Advocate General's Corps","CPT","1983-1987","","","","Rep. Mark Amodei","US Representative","Room 222","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-2802","","https://amodeiforms.house.gov/contact-us","http://amodei.house.gov/","","http://www.facebook.com/MarkAmodeiNV2","http://twitter.com/AmodeiNevada","http://www.youtube.com/markamodeinv2","Images\Photos\FLE\H","Amodei_Mark_197540.jpg"
7768,197402,"FLE","H",,"NJ","New Jersey","08","","",,78,"11/6/2012","","G","H6NJ13191",,,,,,,,,1,"Unofficial Results",4204,4983,"D","Albio","Sires","","Albio","Rep.","","US Representative Elect","","M","Albio Sires","SEER-ehz","Bejucal, Cuba","1951","01","26","Married","Adrienne","West New York, NJ","1 stepchild","ROC","Roman Catholic",2,"Hispanic/Latino","","US Representative for New Jersey District 13",22014,"Speaker, NJ Assembly","2002-2006","Member, NJ General Assembly","2000-2006","PUB","Staff","EDU","Spanish and English Teacher","Middlebury College (VT)","M.A.","1985","Saint Peter's College (NJ)","B.A.","1974","Memorial High School (NJ)","","1974","","","","","","","Rep. Albio Sires","US Representative Elect","Room 2342","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3013","","https://sires.house.gov/contact-me/email-me","http://sires.house.gov","","http://www.facebook.com/pages/Albio-Sires/81058818750","http://twitter.com/Rep_Albio_Sires","http://www.youtube.com/user/RepSiresNJ13","Images\Photos\FLE\H","Sires_Albio_197402.jpg"
7781,271828,"FLE","H",,"NY","New York","06","","",,67.700000000000003,"11/6/2012","","G","H2NY06116",,,,,,,,,1,"Unofficial Results",4410,5233,"D","Grace","Meng","","Grace","Hon.","","US Representative Elect","","F","Grace Meng","","Queens, NY","1975","10","01","Married","Wayne","Flushing, NY","2 children ","CHC","Christian Church",4,"Asian/Pacific American","","State Legislator for New York Assembly District 022",33167,"Member, NY State Assembly","2009-2012","Candidate, NY Assembly","2006","PUB","Chair","PUB","District Administrator and Counsel","Yeshiva University Benjamin N. Cardozo School of Law (NY)","J.D.","2002","University of Michigan","B.A.","1997","Stuyvesant High School (NY)","","1997","","","","","","","Hon. Grace Meng","US Representative Elect","","","49-04 - 43rd Avenue","","Woodside, NY 11377","gracefornewyork@gmail.com","","http://www.gracefornewyork.com/","","http://www.facebook.com/gracemengcongress","http://twitter.com/grace4ny","","Images\Photos\FLE\H","Meng_Grace_271828.jpg"
7794,287304,"FLE","H",,"NY","New York","19","","",,53.399999999999999,"11/6/2012","","G","H0NY20095",,,,,,,,,1,"Unofficial Results",4423,5246,"R","Chris","Gibson","P.","Chris","Rep.","","US Representative Elect","","M","Christopher Patrick Gibson","GIB-suhn","Rockville Centre, NY","1964","05","13","Married","Mary Joanne (Mary Jo) Gerardi","Kinderhook, NY","3 children","ROC","Roman Catholic",5,"White/Caucasian","","US Representative for New York District 20",22041,"Congressional Fellow, Office of U.S. Rep. Jerry Lewis","2002-2003","Intern, The White House, Washington, DC","1993-1994","EDU","Professor of American Politics","MIL","Congressional Fellow","Stanford University (CA)","Att.","1993-1994","Command and General Staff College (KS)","Att.","2000","Cornell University (NY)","Ph.D.","1998","U.S. Army","COL","1986-2010","","","","Rep. Chris Gibson","US Representative Elect","Room 502","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-3220","","http://gibson.house.gov/Contact/","http://gibson.house.gov/","","http://www.facebook.com/RepChrisGibson","http://twitter.com/repchrisgibson","http://www.youtube.com/repchrisgibson","Images\Photos\FLE\H","Gibson_Chris_287304.jpg"
7807,158939,"FLE","H",,"NC","North Carolina","06","","",,60.899999999999999,"11/6/2012","","G","H4NC06011",,,,,,,,,1,"Unofficial Results",4651,5476,"R","Howard","Coble","","Howard","Rep.","","US Representative","","M","John Howard Coble","KOE-buhl","Greensboro, NC","1931","03","18","Single","","Greensboro, NC","","PRE","Presbyterian",5,"White/Caucasian","Y","US Representative for North Carolina District 6",21989,"Member, NC State House","1979-1984","Candidate, Election for NC Treasurer","1976","LAW","Attorney","BUS","Claims Representative","University of North Carolina Law School - Chapel Hill","J.D.","1962","Guilford College (NC)","B.A.","1958","Appalachian State University (NC)","","1950","U.S. Coast Guard","","1977-1978","U.S. Coast Guard Reserve","CAPT","1960-1982","Rep. Howard Coble","US Representative","Room 2188","RHOB- Rayburn House Office Building","Independence Avenue and 1st Street, SW","","Washington, DC 20515-3306","","http://coble.house.gov/Contact/ZipCheck.htm","http://coble.house.gov","","http://www.facebook.com/HowardCoble6","http://twitter.com/HowardCoble","","Images\Photos\FLE\H","Coble_Howard_158939.jpg"
7820,287357,"FLE","H",,"OH","Ohio","06","","",,53.399999999999999,"11/6/2012","","G","H0OH06189",,,,,,,,,1,"Unofficial Results",4929,5758,"R","Bill","Johnson","","Bill","Rep.","","US Representative","","M","William Johnson","JAHN-suhn","Roseboro, NC","1954","11","10","Married","LeeAnn","Marietta, OH","4 children ;  5 grandchildren ","USP","Protestant - Unspecified Christian",5,"White/Caucasian","Y","US Representative for Ohio District 6",22056,"","","","","BUS","Chief Information Officer","BUS","Founder","Air Command and Staff College (AL)","","1975","Georgia Institute of Technology","M.A.","1984","Troy University (AL)","B.S.","1979","U.S. Air Force","Lt Col","1973-1999","","","","Rep. Bill Johnson","US Representative","Room 1710","LHOB- Longworth House Office Building","Independence and New Jersey Avenues, SE","","Washington, DC 20515-3506","","http://billjohnson.house.gov/Contact/","http://billjohnson.house.gov/","","","http://twitter.com/repbilljohnson","http://www.youtube.com/repbilljohnson","Images\Photos\FLE\H","Johnson_Bill_287357.jpg"
7833,286955,"FLE","H",,"PA","Pennsylvania","03","","",,54.700000000000003,"11/6/2012","","G","H0PA03271",,,,,,,,,1,"Unofficial Results",5325,6160,"R","Mike","Kelly","","Mike","Rep.","","US Representative","","M","Mike Kelly","KEH-lee","Pittsburgh, PA","1948","05","10","Married","Victoria","Butler, PA","4 children ;  4 grandchildren ","ROC","Roman Catholic",5,"White/Caucasian","Y","US Representative for Pennsylvania District 3",22101,"Chair, City of Butler Redevelopment Authority","1986","Member, Butler City Council","2006-2009","BUS","Owner","BUS","Owner","University of Notre Dame (IN)","B.A.","1970","Butler High School (PA)","","1966","","","","","","","","","","Rep. Mike Kelly","US Representative","Room 515","CHOB- Cannon House Office Building","Independence Avenue and 1st Street, SE","","Washington, DC 20515-3803","","https://kelly.house.gov/contact-me/email-me","http://kelly.house.gov/","","","","http://www.youtube.com/repmikekelly","Images\Photos\FLE\H","Kelly_Mike_286955.jpg"
